Image Path,True Label,Baseline Prediction,Baseline Confidence,Baseline Correct,Partial Prediction,Partial Confidence,Partial Correct,Change Type
/content/data/hymenoptera_data/val/ants/10308379_1b6c72e180.jpg,ants,ants,0.95196867,True,ants,0.99793774,True,Both Correct
/content/data/hymenoptera_data/val/ants/1053149811_f62a3410d3.jpg,ants,ants,0.9835597,True,ants,0.9841926,True,Both Correct
/content/data/hymenoptera_data/val/ants/1073564163_225a64f170.jpg,ants,ants,0.970932,True,ants,0.9763564,True,Both Correct
/content/data/hymenoptera_data/val/ants/1119630822_cd325ea21a.jpg,ants,ants,0.9338841,True,ants,0.9940479,True,Both Correct
/content/data/hymenoptera_data/val/ants/1124525276_816a07c17f.jpg,ants,ants,0.9984049,True,ants,0.9999981,True,Both Correct
/content/data/hymenoptera_data/val/ants/11381045_b352a47d8c.jpg,ants,ants,0.94239175,True,ants,0.9990219,True,Both Correct
/content/data/hymenoptera_data/val/ants/119785936_dd428e40c3.jpg,ants,bees,0.96971357,False,bees,0.9998505,False,Both Wrong
/content/data/hymenoptera_data/val/ants/1247887232_edcb61246c.jpg,ants,ants,0.9755044,True,ants,0.9832267,True,Both Correct
/content/data/hymenoptera_data/val/ants/1262751255_c56c042b7b.jpg,ants,ants,0.8523689,True,ants,0.9940094,True,Both Correct
/content/data/hymenoptera_data/val/ants/1337725712_2eb53cd742.jpg,ants,ants,0.9912664,True,ants,0.9997819,True,Both Correct
/content/data/hymenoptera_data/val/ants/1358854066_5ad8015f7f.jpg,ants,ants,0.99940646,True,ants,0.9999901,True,Both Correct
/content/data/hymenoptera_data/val/ants/1440002809_b268d9a66a.jpg,ants,ants,0.96584374,True,ants,0.99938047,True,Both Correct
/content/data/hymenoptera_data/val/ants/147542264_79506478c2.jpg,ants,ants,0.98972756,True,ants,0.9998833,True,Both Correct
/content/data/hymenoptera_data/val/ants/152286280_411648ec27.jpg,ants,ants,0.79717296,True,ants,0.9805973,True,Both Correct
/content/data/hymenoptera_data/val/ants/153320619_2aeb5fa0ee.jpg,ants,ants,0.9905608,True,ants,0.99933285,True,Both Correct
/content/data/hymenoptera_data/val/ants/153783656_85f9c3ac70.jpg,ants,ants,0.9994591,True,ants,0.9999969,True,Both Correct
/content/data/hymenoptera_data/val/ants/157401988_d0564a9d02.jpg,ants,ants,0.9961396,True,ants,0.99943274,True,Both Correct
/content/data/hymenoptera_data/val/ants/159515240_d5981e20d1.jpg,ants,ants,0.9197222,True,ants,0.97864693,True,Both Correct
/content/data/hymenoptera_data/val/ants/161076144_124db762d6.jpg,ants,ants,0.9479838,True,ants,0.9954449,True,Both Correct
/content/data/hymenoptera_data/val/ants/161292361_c16e0bf57a.jpg,ants,ants,0.8845155,True,ants,0.9865773,True,Both Correct
/content/data/hymenoptera_data/val/ants/170652283_ecdaff5d1a.jpg,ants,ants,0.8442128,True,ants,0.98459727,True,Both Correct
/content/data/hymenoptera_data/val/ants/17081114_79b9a27724.jpg,ants,ants,0.997315,True,ants,0.9999713,True,Both Correct
/content/data/hymenoptera_data/val/ants/172772109_d0a8e15fb0.jpg,ants,ants,0.89866585,True,ants,0.9704094,True,Both Correct
/content/data/hymenoptera_data/val/ants/1743840368_b5ccda82b7.jpg,ants,ants,0.7563374,True,ants,0.898219,True,Both Correct
/content/data/hymenoptera_data/val/ants/181942028_961261ef48.jpg,ants,ants,0.9966,True,ants,0.9994772,True,Both Correct
/content/data/hymenoptera_data/val/ants/183260961_64ab754c97.jpg,ants,ants,0.96171784,True,ants,0.9923929,True,Both Correct
/content/data/hymenoptera_data/val/ants/2039585088_c6f47c592e.jpg,ants,ants,0.9937826,True,ants,0.999785,True,Both Correct
/content/data/hymenoptera_data/val/ants/205398178_c395c5e460.jpg,ants,ants,0.9794337,True,ants,0.9998499,True,Both Correct
/content/data/hymenoptera_data/val/ants/208072188_f293096296.jpg,ants,ants,0.9803176,True,ants,0.99791676,True,Both Correct
/content/data/hymenoptera_data/val/ants/209615353_eeb38ba204.jpg,ants,ants,0.9725567,True,ants,0.998365,True,Both Correct
/content/data/hymenoptera_data/val/ants/2104709400_8831b4fc6f.jpg,ants,ants,0.9922909,True,ants,0.9998087,True,Both Correct
/content/data/hymenoptera_data/val/ants/212100470_b485e7b7b9.jpg,ants,ants,0.939859,True,ants,0.99839264,True,Both Correct
/content/data/hymenoptera_data/val/ants/2127908701_d49dc83c97.jpg,ants,ants,0.94128114,True,ants,0.98806775,True,Both Correct
/content/data/hymenoptera_data/val/ants/2191997003_379df31291.jpg,ants,ants,0.9976095,True,ants,0.99999774,True,Both Correct
/content/data/hymenoptera_data/val/ants/2211974567_ee4606b493.jpg,ants,ants,0.98859066,True,ants,0.99914837,True,Both Correct
/content/data/hymenoptera_data/val/ants/2219621907_47bc7cc6b0.jpg,ants,ants,0.99738735,True,ants,0.99999154,True,Both Correct
/content/data/hymenoptera_data/val/ants/2238242353_52c82441df.jpg,ants,ants,0.9587486,True,ants,0.99908066,True,Both Correct
/content/data/hymenoptera_data/val/ants/2255445811_dabcdf7258.jpg,ants,ants,0.812821,True,ants,0.9254694,True,Both Correct
/content/data/hymenoptera_data/val/ants/239161491_86ac23b0a3.jpg,ants,ants,0.9966685,True,ants,0.9999919,True,Both Correct
/content/data/hymenoptera_data/val/ants/263615709_cfb28f6b8e.jpg,ants,ants,0.95685846,True,ants,0.9929876,True,Both Correct
/content/data/hymenoptera_data/val/ants/308196310_1db5ffa01b.jpg,ants,ants,0.659497,True,ants,0.719883,True,Both Correct
/content/data/hymenoptera_data/val/ants/319494379_648fb5a1c6.jpg,ants,ants,0.8371426,True,ants,0.91041684,True,Both Correct
/content/data/hymenoptera_data/val/ants/35558229_1fa4608a7a.jpg,ants,ants,0.9751823,True,ants,0.9997552,True,Both Correct
/content/data/hymenoptera_data/val/ants/412436937_4c2378efc2.jpg,ants,ants,0.9682947,True,ants,0.9994265,True,Both Correct
/content/data/hymenoptera_data/val/ants/436944325_d4925a38c7.jpg,ants,ants,0.9946367,True,ants,0.99958426,True,Both Correct
/content/data/hymenoptera_data/val/ants/445356866_6cb3289067.jpg,ants,ants,0.9996132,True,ants,0.9999981,True,Both Correct
/content/data/hymenoptera_data/val/ants/459442412_412fecf3fe.jpg,ants,ants,0.98402286,True,ants,0.9996947,True,Both Correct
/content/data/hymenoptera_data/val/ants/470127071_8b8ee2bd74.jpg,ants,ants,0.7279224,True,ants,0.9788993,True,Both Correct
/content/data/hymenoptera_data/val/ants/477437164_bc3e6e594a.jpg,ants,ants,0.9401433,True,ants,0.98461366,True,Both Correct
/content/data/hymenoptera_data/val/ants/488272201_c5aa281348.jpg,ants,ants,0.98052245,True,ants,0.9937769,True,Both Correct
/content/data/hymenoptera_data/val/ants/502717153_3e4865621a.jpg,ants,ants,0.909611,True,ants,0.9994475,True,Both Correct
/content/data/hymenoptera_data/val/ants/518746016_bcc28f8b5b.jpg,ants,ants,0.96928376,True,ants,0.9993655,True,Both Correct
/content/data/hymenoptera_data/val/ants/540543309_ddbb193ee5.jpg,ants,ants,0.9142893,True,ants,0.9835699,True,Both Correct
/content/data/hymenoptera_data/val/ants/562589509_7e55469b97.jpg,ants,ants,0.98801917,True,ants,0.99986804,True,Both Correct
/content/data/hymenoptera_data/val/ants/57264437_a19006872f.jpg,ants,ants,0.97572815,True,ants,0.9915652,True,Both Correct
/content/data/hymenoptera_data/val/ants/573151833_ebbc274b77.jpg,ants,ants,0.97935635,True,ants,0.9998846,True,Both Correct
/content/data/hymenoptera_data/val/ants/649407494_9b6bc4949f.jpg,ants,ants,0.97220856,True,ants,0.9958489,True,Both Correct
/content/data/hymenoptera_data/val/ants/751649788_78dd7d16ce.jpg,ants,ants,0.9902345,True,ants,0.9997781,True,Both Correct
/content/data/hymenoptera_data/val/ants/768870506_8f115d3d37.jpg,ants,ants,0.9953513,True,ants,0.9999684,True,Both Correct
/content/data/hymenoptera_data/val/ants/800px-Meat_eater_ant_qeen_excavating_hole.jpg,ants,ants,0.98604983,True,ants,0.99921906,True,Both Correct
/content/data/hymenoptera_data/val/ants/8124241_36b290d372.jpg,ants,ants,0.8893168,True,ants,0.9749928,True,Both Correct
/content/data/hymenoptera_data/val/ants/8398478_50ef10c47a.jpg,ants,ants,0.8070386,True,bees,0.55832267,False,Broken by Partial
/content/data/hymenoptera_data/val/ants/854534770_31f6156383.jpg,ants,ants,0.9947188,True,ants,0.99996996,True,Both Correct
/content/data/hymenoptera_data/val/ants/892676922_4ab37dce07.jpg,ants,bees,0.9276393,False,bees,0.9864926,False,Both Wrong
/content/data/hymenoptera_data/val/ants/94999827_36895faade.jpg,ants,ants,0.9938524,True,ants,0.99996805,True,Both Correct
/content/data/hymenoptera_data/val/ants/Ant-1818.jpg,ants,ants,0.9981981,True,ants,0.99999905,True,Both Correct
/content/data/hymenoptera_data/val/ants/F.pergan.28(f).jpg,ants,ants,0.96893513,True,ants,0.99890053,True,Both Correct
/content/data/hymenoptera_data/val/ants/Hormiga.jpg,ants,ants,0.90918684,True,ants,0.99589205,True,Both Correct
/content/data/hymenoptera_data/val/ants/ants-devouring-remains-of-large-dead-insect-on-red-tile-in-Stellenbosch-South-Africa-closeup-1-DHD.jpg,ants,ants,0.9975787,True,ants,0.9999981,True,Both Correct
/content/data/hymenoptera_data/val/ants/desert_ant.jpg,ants,ants,0.9592025,True,ants,0.9999677,True,Both Correct
/content/data/hymenoptera_data/val/bees/1032546534_06907fe3b3.jpg,bees,bees,0.99414295,True,bees,0.99998474,True,Both Correct
/content/data/hymenoptera_data/val/bees/10870992_eebeeb3a12.jpg,bees,bees,0.8213483,True,bees,0.99239445,True,Both Correct
/content/data/hymenoptera_data/val/bees/1181173278_23c36fac71.jpg,bees,bees,0.8439837,True,bees,0.97883373,True,Both Correct
/content/data/hymenoptera_data/val/bees/1297972485_33266a18d9.jpg,bees,bees,0.99215853,True,bees,0.9999745,True,Both Correct
/content/data/hymenoptera_data/val/bees/1328423762_f7a88a8451.jpg,bees,bees,0.9853564,True,bees,0.9998872,True,Both Correct
/content/data/hymenoptera_data/val/bees/1355974687_1341c1face.jpg,bees,bees,0.9914,True,bees,0.9999877,True,Both Correct
/content/data/hymenoptera_data/val/bees/144098310_a4176fd54d.jpg,bees,bees,0.9239629,True,bees,0.99980813,True,Both Correct
/content/data/hymenoptera_data/val/bees/1486120850_490388f84b.jpg,bees,bees,0.9300047,True,bees,0.99388784,True,Both Correct
/content/data/hymenoptera_data/val/bees/149973093_da3c446268.jpg,bees,bees,0.999673,True,bees,0.9999987,True,Both Correct
/content/data/hymenoptera_data/val/bees/151594775_ee7dc17b60.jpg,bees,bees,0.9626925,True,bees,0.9979157,True,Both Correct
/content/data/hymenoptera_data/val/bees/151603988_2c6f7d14c7.jpg,bees,bees,0.9750708,True,bees,0.9997787,True,Both Correct
/content/data/hymenoptera_data/val/bees/1519368889_4270261ee3.jpg,bees,ants,0.787163,False,ants,0.9874772,False,Both Wrong
/content/data/hymenoptera_data/val/bees/152789693_220b003452.jpg,bees,bees,0.9999876,True,bees,1.0,True,Both Correct
/content/data/hymenoptera_data/val/bees/177677657_a38c97e572.jpg,bees,bees,0.99931586,True,bees,0.99999595,True,Both Correct
/content/data/hymenoptera_data/val/bees/1799729694_0c40101071.jpg,bees,bees,0.995828,True,bees,0.99977976,True,Both Correct
/content/data/hymenoptera_data/val/bees/181171681_c5a1a82ded.jpg,bees,bees,0.9985506,True,bees,0.99998975,True,Both Correct
/content/data/hymenoptera_data/val/bees/187130242_4593a4c610.jpg,bees,bees,0.99900323,True,bees,0.99999905,True,Both Correct
/content/data/hymenoptera_data/val/bees/203868383_0fcbb48278.jpg,bees,bees,0.99779993,True,bees,0.9999989,True,Both Correct
/content/data/hymenoptera_data/val/bees/2060668999_e11edb10d0.jpg,bees,bees,0.997908,True,bees,0.999984,True,Both Correct
/content/data/hymenoptera_data/val/bees/2086294791_6f3789d8a6.jpg,bees,bees,0.7746021,True,bees,0.99357855,True,Both Correct
/content/data/hymenoptera_data/val/bees/2103637821_8d26ee6b90.jpg,bees,bees,0.9910091,True,bees,0.99982315,True,Both Correct
/content/data/hymenoptera_data/val/bees/2104135106_a65eede1de.jpg,bees,bees,0.9913933,True,bees,0.99996936,True,Both Correct
/content/data/hymenoptera_data/val/bees/215512424_687e1e0821.jpg,bees,bees,0.9947916,True,bees,0.99999034,True,Both Correct
/content/data/hymenoptera_data/val/bees/2173503984_9c6aaaa7e2.jpg,bees,bees,0.9978325,True,bees,0.99999166,True,Both Correct
/content/data/hymenoptera_data/val/bees/220376539_20567395d8.jpg,bees,bees,0.9997758,True,bees,1.0,True,Both Correct
/content/data/hymenoptera_data/val/bees/224841383_d050f5f510.jpg,bees,bees,0.9991617,True,bees,0.99999976,True,Both Correct
/content/data/hymenoptera_data/val/bees/2321144482_f3785ba7b2.jpg,bees,bees,0.9960078,True,bees,0.9998847,True,Both Correct
/content/data/hymenoptera_data/val/bees/238161922_55fa9a76ae.jpg,bees,bees,0.9950566,True,bees,0.9995977,True,Both Correct
/content/data/hymenoptera_data/val/bees/2407809945_fb525ef54d.jpg,bees,bees,0.9968561,True,bees,0.99999344,True,Both Correct
/content/data/hymenoptera_data/val/bees/2415414155_1916f03b42.jpg,bees,bees,0.97388023,True,bees,0.99945265,True,Both Correct
/content/data/hymenoptera_data/val/bees/2438480600_40a1249879.jpg,bees,bees,0.99886024,True,bees,0.99999094,True,Both Correct
/content/data/hymenoptera_data/val/bees/2444778727_4b781ac424.jpg,bees,bees,0.9932313,True,bees,0.9999684,True,Both Correct
/content/data/hymenoptera_data/val/bees/2457841282_7867f16639.jpg,bees,bees,0.9984213,True,bees,0.9999993,True,Both Correct
/content/data/hymenoptera_data/val/bees/2470492902_3572c90f75.jpg,bees,bees,0.9129713,True,bees,0.9968714,True,Both Correct
/content/data/hymenoptera_data/val/bees/2478216347_535c8fe6d7.jpg,bees,bees,0.9986613,True,bees,0.9999939,True,Both Correct
/content/data/hymenoptera_data/val/bees/2501530886_e20952b97d.jpg,bees,bees,0.65306866,True,bees,0.74071324,True,Both Correct
/content/data/hymenoptera_data/val/bees/2506114833_90a41c5267.jpg,bees,bees,0.96620154,True,bees,0.9966462,True,Both Correct
/content/data/hymenoptera_data/val/bees/2509402554_31821cb0b6.jpg,bees,bees,0.92329705,True,bees,0.9146104,True,Both Correct
/content/data/hymenoptera_data/val/bees/2525379273_dcb26a516d.jpg,bees,bees,0.9909781,True,bees,0.9999471,True,Both Correct
/content/data/hymenoptera_data/val/bees/26589803_5ba7000313.jpg,bees,bees,0.9933107,True,bees,0.99998665,True,Both Correct
/content/data/hymenoptera_data/val/bees/2668391343_45e272cd07.jpg,bees,bees,0.9459798,True,bees,0.9727166,True,Both Correct
/content/data/hymenoptera_data/val/bees/2670536155_c170f49cd0.jpg,bees,bees,0.97276086,True,bees,0.99961096,True,Both Correct
/content/data/hymenoptera_data/val/bees/2685605303_9eed79d59d.jpg,bees,bees,0.9959616,True,bees,0.999962,True,Both Correct
/content/data/hymenoptera_data/val/bees/2702408468_d9ed795f4f.jpg,bees,bees,0.99965847,True,bees,1.0,True,Both Correct
/content/data/hymenoptera_data/val/bees/2709775832_85b4b50a57.jpg,bees,ants,0.8403091,False,ants,0.70112604,False,Both Wrong
/content/data/hymenoptera_data/val/bees/2717418782_bd83307d9f.jpg,bees,bees,0.98647726,True,bees,0.9998826,True,Both Correct
/content/data/hymenoptera_data/val/bees/272986700_d4d4bf8c4b.jpg,bees,bees,0.9975224,True,bees,0.9999951,True,Both Correct
/content/data/hymenoptera_data/val/bees/2741763055_9a7bb00802.jpg,bees,bees,0.9955041,True,bees,0.9999449,True,Both Correct
/content/data/hymenoptera_data/val/bees/2745389517_250a397f31.jpg,bees,bees,0.9998976,True,bees,1.0,True,Both Correct
/content/data/hymenoptera_data/val/bees/2751836205_6f7b5eff30.jpg,bees,bees,0.99177164,True,bees,0.99996924,True,Both Correct
/content/data/hymenoptera_data/val/bees/2782079948_8d4e94a826.jpg,bees,bees,0.9948664,True,bees,0.9999945,True,Both Correct
/content/data/hymenoptera_data/val/bees/2809496124_5f25b5946a.jpg,bees,bees,0.99987566,True,bees,0.99999976,True,Both Correct
/content/data/hymenoptera_data/val/bees/2815838190_0a9889d995.jpg,bees,bees,0.99589336,True,bees,0.99976486,True,Both Correct
/content/data/hymenoptera_data/val/bees/2841437312_789699c740.jpg,bees,bees,0.99942434,True,bees,0.99999833,True,Both Correct
/content/data/hymenoptera_data/val/bees/2883093452_7e3a1eb53f.jpg,bees,bees,0.9998307,True,bees,0.99999905,True,Both Correct
/content/data/hymenoptera_data/val/bees/290082189_f66cb80bfc.jpg,bees,bees,0.9981187,True,bees,0.9999852,True,Both Correct
/content/data/hymenoptera_data/val/bees/296565463_d07a7bed96.jpg,bees,bees,0.99668795,True,bees,0.99999845,True,Both Correct
/content/data/hymenoptera_data/val/bees/3077452620_548c79fda0.jpg,bees,bees,0.9892915,True,bees,0.9998771,True,Both Correct
/content/data/hymenoptera_data/val/bees/348291597_ee836fbb1a.jpg,bees,bees,0.98656255,True,bees,0.99988055,True,Both Correct
/content/data/hymenoptera_data/val/bees/350436573_41f4ecb6c8.jpg,bees,bees,0.99317545,True,bees,0.998735,True,Both Correct
/content/data/hymenoptera_data/val/bees/353266603_d3eac7e9a0.jpg,bees,bees,0.91380566,True,bees,0.759632,True,Both Correct
/content/data/hymenoptera_data/val/bees/372228424_16da1f8884.jpg,bees,bees,0.99598384,True,bees,0.9999987,True,Both Correct
/content/data/hymenoptera_data/val/bees/400262091_701c00031c.jpg,bees,bees,0.98066276,True,bees,0.99931335,True,Both Correct
/content/data/hymenoptera_data/val/bees/416144384_961c326481.jpg,bees,bees,0.7891139,True,bees,0.7622398,True,Both Correct
/content/data/hymenoptera_data/val/bees/44105569_16720a960c.jpg,bees,bees,0.9872886,True,bees,0.99991155,True,Both Correct
/content/data/hymenoptera_data/val/bees/456097971_860949c4fc.jpg,bees,bees,0.89299494,True,bees,0.99975544,True,Both Correct
/content/data/hymenoptera_data/val/bees/464594019_1b24a28bb1.jpg,bees,bees,0.86763686,True,bees,0.9815027,True,Both Correct
/content/data/hymenoptera_data/val/bees/485743562_d8cc6b8f73.jpg,bees,bees,0.9369394,True,bees,0.96435624,True,Both Correct
/content/data/hymenoptera_data/val/bees/540976476_844950623f.jpg,bees,bees,0.9996666,True,bees,0.99999976,True,Both Correct
/content/data/hymenoptera_data/val/bees/54736755_c057723f64.jpg,bees,bees,0.79618627,True,bees,0.9229598,True,Both Correct
/content/data/hymenoptera_data/val/bees/57459255_752774f1b2.jpg,bees,bees,0.9402558,True,bees,0.9954269,True,Both Correct
/content/data/hymenoptera_data/val/bees/576452297_897023f002.jpg,bees,bees,0.9597678,True,bees,0.9958203,True,Both Correct
/content/data/hymenoptera_data/val/bees/586474709_ae436da045.jpg,bees,bees,0.96147543,True,bees,0.9997886,True,Both Correct
/content/data/hymenoptera_data/val/bees/590318879_68cf112861.jpg,bees,bees,0.982822,True,bees,0.9989524,True,Both Correct
/content/data/hymenoptera_data/val/bees/59798110_2b6a3c8031.jpg,bees,ants,0.9917325,False,ants,0.99954563,False,Both Wrong
/content/data/hymenoptera_data/val/bees/603709866_a97c7cfc72.jpg,bees,bees,0.98065007,True,bees,0.9999441,True,Both Correct
/content/data/hymenoptera_data/val/bees/603711658_4c8cd2201e.jpg,bees,bees,0.95546544,True,bees,0.9987921,True,Both Correct
/content/data/hymenoptera_data/val/bees/65038344_52a45d090d.jpg,bees,bees,0.99767333,True,bees,0.9999958,True,Both Correct
/content/data/hymenoptera_data/val/bees/6a00d8341c630a53ef00e553d0beb18834-800wi.jpg,bees,bees,0.98950446,True,bees,0.99995196,True,Both Correct
/content/data/hymenoptera_data/val/bees/72100438_73de9f17af.jpg,bees,bees,0.9485633,True,bees,0.9985085,True,Both Correct
/content/data/hymenoptera_data/val/bees/759745145_e8bc776ec8.jpg,bees,ants,0.88647074,False,bees,0.55434304,True,Fixed by Partial
/content/data/hymenoptera_data/val/bees/936182217_c4caa5222d.jpg,bees,bees,0.9998629,True,bees,1.0,True,Both Correct
/content/data/hymenoptera_data/val/bees/abeja.jpg,bees,bees,0.99750453,True,bees,0.999998,True,Both Correct
